id,Name,date,year,week of year,NW,SW,NE,GL,SE
01/01/2007,01/01/2007,01/01/2007,2007,1,0,0,1,0,1
08/01/2007,08/01/2007,08/01/2007,2007,2,0,0,1,0,1
15/01/2007,15/01/2007,15/01/2007,2007,3,0,0,0,0,0
22/01/2007,22/01/2007,22/01/2007,2007,4,2,0,0,0,1
29/01/2007,29/01/2007,29/01/2007,2007,5,0,1,1,1,0
05/02/2007,05/02/2007,05/02/2007,2007,6,0,2,0,1,0
12/02/2007,12/02/2007,12/02/2007,2007,7,0,6,0,0,0
19/02/2007,19/02/2007,19/02/2007,2007,8,0,8,0,0,0
26/02/2007,26/02/2007,26/02/2007,2007,9,2,3,1,0,0
05/03/2007,05/03/2007,05/03/2007,2007,10,9,8,0,0,0
12/03/2007,12/03/2007,12/03/2007,2007,11,26,5,1,0,0
19/03/2007,19/03/2007,19/03/2007,2007,12,28,8,3,0,6
26/03/2007,26/03/2007,26/03/2007,2007,13,32,9,108,0,2
02/04/2007,02/04/2007,02/04/2007,2007,14,22,4,81,3,0
09/04/2007,09/04/2007,09/04/2007,2007,15,8,4,22,0,0
16/04/2007,16/04/2007,16/04/2007,2007,16,7,10,23,1,1
23/04/2007,23/04/2007,23/04/2007,2007,17,3,5,31,2,0
30/04/2007,30/04/2007,30/04/2007,2007,18,7,1,19,6,1
07/05/2007,07/05/2007,07/05/2007,2007,19,2,1,7,5,0
14/05/2007,14/05/2007,14/05/2007,2007,20,2,0,2,1,0
21/05/2007,21/05/2007,21/05/2007,2007,21,2,0,3,1,0
28/05/2007,28/05/2007,28/05/2007,2007,22,2,0,1,0,0
04/06/2007,04/06/2007,04/06/2007,2007,23,3,0,1,0,0
11/06/2007,11/06/2007,11/06/2007,2007,24,2,0,0,0,0
18/06/2007,18/06/2007,18/06/2007,2007,25,0,0,2,0,0
25/06/2007,25/06/2007,25/06/2007,2007,26,2,0,0,0,0
02/07/2007,02/07/2007,02/07/2007,2007,27,3,0,0,0,0
09/07/2007,09/07/2007,09/07/2007,2007,28,0,0,0,0,0
16/07/2007,16/07/2007,16/07/2007,2007,29,0,1,1,0,1
23/07/2007,23/07/2007,23/07/2007,2007,30,2,0,4,0,2
30/07/2007,30/07/2007,30/07/2007,2007,31,0,0,0,0,0
06/08/2007,06/08/2007,06/08/2007,2007,32,0,1,1,0,0
13/08/2007,13/08/2007,13/08/2007,2007,33,0,0,0,0,0
20/08/2007,20/08/2007,20/08/2007,2007,34,0,0,0,0,0
27/08/2007,27/08/2007,27/08/2007,2007,35,0,0,0,0,0
03/09/2007,03/09/2007,03/09/2007,2007,36,1,0,0,0,0
10/09/2007,10/09/2007,10/09/2007,2007,37,1,0,1,0,0
17/09/2007,17/09/2007,17/09/2007,2007,38,0,0,0,0,0
24/09/2007,24/09/2007,24/09/2007,2007,39,0,0,2,0,0
01/10/2007,01/10/2007,01/10/2007,2007,40,0,0,2,0,0
08/10/2007,08/10/2007,08/10/2007,2007,41,0,0,0,0,0
15/10/2007,15/10/2007,15/10/2007,2007,42,0,0,1,0,0
22/10/2007,22/10/2007,22/10/2007,2007,43,1,0,0,0,0
29/10/2007,29/10/2007,29/10/2007,2007,44,1,0,1,0,0
05/11/2007,05/11/2007,05/11/2007,2007,45,0,0,1,1,0
12/11/2007,12/11/2007,12/11/2007,2007,46,0,0,0,0,0
19/11/2007,19/11/2007,19/11/2007,2007,47,2,1,1,0,0
26/11/2007,26/11/2007,26/11/2007,2007,48,0,0,0,0,0
03/12/2007,03/12/2007,03/12/2007,2007,49,0,1,0,0,0
10/12/2007,10/12/2007,10/12/2007,2007,50,0,0,0,0,0
17/12/2007,17/12/2007,17/12/2007,2007,51,0,0,1,0,0
24/12/2007,24/12/2007,24/12/2007,2007,52,0,0,0,0,0
31/12/2007,31/12/2007,31/12/2007,2007,53,1,0,7,0,0
07/01/2008,07/01/2008,07/01/2008,2008,2,1,0,0,0,0
14/01/2008,14/01/2008,14/01/2008,2008,3,1,1,1,0,0
21/01/2008,21/01/2008,21/01/2008,2008,4,1,1,0,0,0
28/01/2008,28/01/2008,28/01/2008,2008,5,3,1,0,0,0
04/02/2008,04/02/2008,04/02/2008,2008,6,0,2,0,0,0
11/02/2008,11/02/2008,11/02/2008,2008,7,0,2,4,0,0
18/02/2008,18/02/2008,18/02/2008,2008,8,1,5,6,0,1
25/02/2008,25/02/2008,25/02/2008,2008,9,1,9,5,0,1
03/03/2008,03/03/2008,03/03/2008,2008,10,4,11,4,0,3
10/03/2008,10/03/2008,10/03/2008,2008,11,7,10,5,0,3
17/03/2008,17/03/2008,17/03/2008,2008,12,17,8,20,0,2
24/03/2008,24/03/2008,24/03/2008,2008,13,31,10,126,0,5
31/03/2008,31/03/2008,31/03/2008,2008,14,23,9,105,1,7
07/04/2008,07/04/2008,07/04/2008,2008,15,23,13,65,3,2
14/04/2008,14/04/2008,14/04/2008,2008,16,11,20,47,3,0
21/04/2008,21/04/2008,21/04/2008,2008,17,8,6,37,8,0
28/04/2008,28/04/2008,28/04/2008,2008,18,9,0,27,7,0
05/05/2008,05/05/2008,05/05/2008,2008,19,6,0,6,10,0
12/05/2008,12/05/2008,12/05/2008,2008,20,1,1,2,3,0
19/05/2008,19/05/2008,19/05/2008,2008,21,2,0,5,4,0
26/05/2008,26/05/2008,26/05/2008,2008,22,2,0,1,3,0
02/06/2008,02/06/2008,02/06/2008,2008,23,0,0,1,1,0
09/06/2008,09/06/2008,09/06/2008,2008,24,0,0,0,1,0
16/06/2008,16/06/2008,16/06/2008,2008,25,0,0,0,0,0
23/06/2008,23/06/2008,23/06/2008,2008,26,0,3,2,1,0
30/06/2008,30/06/2008,30/06/2008,2008,27,0,0,0,0,0
07/07/2008,07/07/2008,07/07/2008,2008,28,1,0,1,1,0
14/07/2008,14/07/2008,14/07/2008,2008,29,0,0,0,0,0
21/07/2008,21/07/2008,21/07/2008,2008,30,0,1,0,1,2
28/07/2008,28/07/2008,28/07/2008,2008,31,0,0,1,1,0
04/08/2008,04/08/2008,04/08/2008,2008,32,0,2,0,1,0
11/08/2008,11/08/2008,11/08/2008,2008,33,0,2,0,0,0
18/08/2008,18/08/2008,18/08/2008,2008,34,0,1,0,0,0
25/08/2008,25/08/2008,25/08/2008,2008,35,1,0,1,0,2
01/09/2008,01/09/2008,01/09/2008,2008,36,0,1,0,0,0
08/09/2008,08/09/2008,08/09/2008,2008,37,0,0,0,1,0
15/09/2008,15/09/2008,15/09/2008,2008,38,0,0,1,0,0
22/09/2008,22/09/2008,22/09/2008,2008,39,0,0,1,0,0
29/09/2008,29/09/2008,29/09/2008,2008,40,0,2,0,0,0
