,title,anime_type,studio,year,season,rating,no_of_votes,rank,episode_length
0,Fullmetal Alchemist: Brotherhood,TV,Bones,2009 - 2010 ,,4.701,91569,1,64 eps
1,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,Movie,ufotable,2020,,4.67,153,2,1 ep
2,Haikyuu!! To the Top: Part II,TV,Production I.G,2020 - ? ,,4.666,1678,3,6+ eps
3,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,TV,Production I.G,2016 ,,4.66,21571,4,10 eps
4,A Silent Voice,Movie,Kyoto Animation,2016,,4.655,40758,5,1 ep x 130 min
5,your name.,Movie,CoMix Wave Films,2016,,4.654,50769,6,1 ep x 107 min
6,Attack on Titan 3rd Season: Part II,TV,Wit Studio,2019 ,,4.651,21109,7,10 eps
7,Haikyuu!! Second Season,TV,Production I.G,2015 - 2016 ,,4.64,27749,8,25 eps
8,Hunter x Hunter (2011),TV,MADHOUSE,2011 - 2014 ,,4.639,53741,9,148 eps
9,Demon Slayer: Kimetsu no Yaiba,TV,ufotable,2019 ,,4.631,34431,10,26 eps
10,Gintama Kanketsu-hen: Yorozuya yo Eien Nare,Movie,Sunrise,2013,,4.622,6589,11,1 ep x 111 min
11,Gintama (2015),TV,BN Pictures,2015 - 2016 ,,4.619,8234,12,51 eps
12,Steins;Gate,TV,WHITE FOX,2011 ,,4.615,51055,13,24 eps
13,Code Geass: Lelouch of the Rebellion R2,TV,Sunrise,2008 ,,4.615,67048,14,25 eps
14,Mob Psycho 100 II,TV,Bones,2019 ,,4.614,17498,15,13 eps
15,The Promised Neverland,TV,CloverWorks,2019 ,,4.612,25081,16,12 eps
16,Haikyuu!! To the Top,TV,Production I.G,2020 ,,4.606,9317,17,13 eps
17,Natsume's Book of Friends Season 6,TV,Shuka,2017 ,,4.601,3835,18,11 eps
18,Gintama': Enchousen,TV,Sunrise,2012 - 2013 ,,4.6,8369,19,13 eps
19,Gintama',TV,Sunrise,2011 - 2012 ,,4.6,11189,20,51 eps
20,Gintama.,TV,BN Pictures,2017 ,,4.598,5106,21,12 eps
21,Gintama.: Shirogane no Tamashii-hen 2,TV,BN Pictures,2018 ,,4.598,2512,22,14 eps
22,Mushishi Zoku Shou 2nd Season,TV,Artland,2014 ,,4.596,6191,23,10 eps
23,Kaguya-sama: Love Is War?,TV,A-1 Pictures,2020 ,,4.593,8636,24,12 eps
24,March Comes in like a Lion 2nd Season,TV,Shaft,2017 - 2018 ,,4.592,4482,25,22 eps
25,One-Punch Man,TV,MADHOUSE,2015 ,,4.59,72553,26,12 eps
26,Clannad After Story,TV,Kyoto Animation,2008 - 2009 ,,4.589,42864,27,24 eps
27,Spirited Away,Movie,Studio Ghibli,2001,,4.588,87725,28,1 ep x 125 min
28,Vinland Saga,TV,Wit Studio,2019 ,,4.584,9743,29,24 eps
29,My Hero Academia 3,TV,Bones,2018 ,,4.583,42304,30,25 eps
30,Mushishi Zoku Shou,TV,Artland,2014 ,,4.582,7072,31,10 eps
31,My Hero Academia 2,TV,Bones,2017 ,,4.581,53675,32,25 eps
32,Gintama.: Shirogane no Tamashii-hen,TV,BN Pictures,2018 ,,4.58,2955,33,12 eps
33,Wolf Children,Movie,Studio Chizu,2012,,4.573,28551,34,1 ep x 117 min
34,Natsume's Book of Friends Season 4,TV,Brain's Base,2012 ,,4.57,8338,35,13 eps
35,Haikyuu!!,TV,Production I.G,2014 ,,4.57,36729,36,25 eps
36,Made in Abyss Movie: Dawn of the Deep Soul,Movie,Kinema Citrus,2020,,4.566,1096,37,1 ep x 113 min
37,Rascal Does Not Dream of a Dreaming Girl,Movie,CloverWorks,2019,,4.564,4754,38,1 ep x 90 min
38,Fruits Basket 2nd Season,TV,"TMS Entertainment,8 Pan",2020 ,,4.563,3576,39,25 eps
39,Hajime no Ippo: New Challenger,TV,MADHOUSE,2009 ,,4.562,10577,40,26 eps
40,Natsume's Book of Friends Season 5,TV,Shuka,2016 ,,4.561,4414,41,11 eps
41,Howl's Moving Castle,Movie,Studio Ghibli,2004,,4.56,67237,42,1 ep x 118 min
42,Douluo Dalu 2,Web,Sparkly Key Animation Studio,2018 - ?,,4.559,739,43,102+ eps x 22 min
43,Hajime no Ippo: The Fighting!,TV,MADHOUSE,2000 - 2002 ,,4.558,15719,44,75 eps
44,Made in Abyss,TV,Kinema Citrus,2017 ,,4.556,17021,45,13 eps
45,Descending Stories: Shouwa Genroku Rakugo Shinjuu,TV,Studio Deen,2017 ,,4.553,2430,46,12 eps
46,Code Geass: Lelouch of the Rebellion,TV,Sunrise,2006 - 2007 ,,4.552,80922,47,25 eps
47,Monogatari Series: Second Season,TV,Shaft,2013 ,,4.55,11834,48,26 eps
48,Kizumonogatari Movie 3: Reiketsu,Movie,Shaft,2017,,4.55,5299,49,1 ep x 83 min
49,Princess Mononoke,Movie,Studio Ghibli,1997,,4.549,61204,50,1 ep x 134 min
50,JoJo's Bizarre Adventure: Golden Wind,TV,David Production,2018 - 2019 ,,4.549,9335,51,39 eps
51,Jujutsu Kaisen,TV,Mappa,2020 - ? ,,4.544,2306,52,6+ eps
52,Owarimonogatari (2017),TV Special,Shaft,2017,,4.544,3452,53,2 eps x 84 min
53,Mo Dao Zu Shi 2,Web,G.CMay Animation & Film,2019,,4.542,1776,54,8 eps
54,Gintama: Porori-hen,TV,BN Pictures,2017 ,,4.542,2882,55,13 eps
55,Assassination Classroom 2nd Season,TV,Lerche,2016 ,,4.541,27702,56,25 eps
56,Given,TV,Lerche,2019 ,,4.54,8715,57,11 eps
57,Natsume's Book of Friends Season 3,TV,Brain's Base,2011 ,,4.54,9330,58,13 eps
58,Mo Dao Zu Shi,Web,G.CMay Animation & Film,2018,,4.537,3354,59,15 eps x 24 min
59,Rurouni Kenshin: Tsuiokuhen,OVA,Studio Deen,1999,,4.537,20600,60,4 eps
60,Mushishi Zoku Shou: Suzu no Shizuku,Movie,Artland,2015,,4.537,2636,61,1 ep x 47 min
61,Re:ZERO -Starting Life in Another World- Season 2,TV,WHITE FOX,2020 ,,4.536,6149,62,13 eps
62,KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson,Movie,J.C. Staff,2019,,4.536,6598,63,1 ep x 86 min
63,Mushishi: Hihamukage,TV Special,Artland,2014,,4.535,4657,64,1 ep x 45 min
64,I Want to Eat Your Pancreas,Movie,Studio VOLN,2018,,4.534,7840,65,1 ep x 108 min
65,Cowboy Bebop,TV,Sunrise,1998 - 1999 ,,4.533,60230,66,26 eps
66,The Disappearance of Haruhi Suzumiya,Movie,Kyoto Animation,2010,,4.53,21280,67,1 ep x 162 min
67,Hajime no Ippo: Rising,TV,"Mappa,MADHOUSE",2013 - 2014 ,,4.529,6440,68,25 eps
68,Fate/Zero 2,TV,ufotable,2012 ,,4.528,26270,69,12 eps
69,Legend of the Galactic Heroes,OVA,"Shaft,Mushi Production,Kitty Film Mitaka Studio,Magic Bus,Artland",1988 - 1997,,4.527,3620,70,110 eps x 26 min
70,Attack on Titan 3rd Season,TV,Wit Studio,2018 ,,4.526,25389,71,12 eps
71,Bunny Drop,TV,Production I.G,2011 ,,4.525,18353,72,11 eps
72,The Garden of Sinners Movie 5: Paradox Paradigm,Movie,ufotable,2008,,4.525,7306,73,1 ep x 112 min
73,Natsume's Book of Friends Season 2,TV,Brain's Base,2009 ,,4.524,10803,74,13 eps
74,ERASED,TV,A-1 Pictures,2016 ,,4.523,41853,75,12 eps
75,Yona of the Dawn: Zeno Arc,OVA,Studio Pierrot,2016,,4.523,3864,76,2 eps
76,Hotarubi no Mori e,Movie,Brain's Base,2011,,4.522,22004,77,1 ep x 45 min
77,Great Teacher Onizuka,TV,Studio Pierrot,1999 - 2000 ,,4.521,29244,78,43 eps
78,Mushishi Zoku Shou: Odoro no Michi,TV Special,Artland,2014,,4.521,3262,79,1 ep x 48 min
79,The Disastrous Life of Saiki K. 2nd Season,TV,J.C. Staff,2018 ,,4.519,8279,80,24 eps
80,Violet Evergarden,TV,Kyoto Animation,2018 ,,4.519,20014,81,13 eps
81,My Hero Academia 4,TV,Bones,2019 - 2020 ,,4.518,21340,82,25 eps
